ts_ms,phase,val,pos_steps,spd_sps,sg_result,cs_actual,cur_a,cur_b,stall,otpw,ot,ola,olb
65762,FINE,420,47055,11018,38,18,198,-148,0,0,0,0,0
65962,FINE,420,47215,10045,42,18,-199,147,0,0,0,0,0
66162,FINE,420,47375,8968,40,18,198,-148,0,0,0,0,0
66362,FINE,420,47533,7760,42,18,-166,183,0,0,0,0,0
66562,FINE,420,47694,6293,36,18,182,-167,0,0,0,0,0
66762,FINE,420,47853,4388,42,18,-166,183,0,0,0,0,0
66962,FINE,420,48002,441,46,18,-84,-233,0,0,0,0,0
67162,FINE,430,48146,4285,40,18,232,-84,0,0,0,0,0
67362,FINE,430,48308,6253,42,18,-245,36,0,0,0,0,0
67562,FINE,430,48475,7776,34,18,212,126,0,0,0,0,0
67762,FINE,430,48633,8983,44,18,-234,-83,0,0,0,0,0
67962,FINE,430,48793,10058,36,18,233,82,0,0,0,0,0
68162,FINE,430,48951,11018,42,18,-245,-36,0,0,0,0,0
68362,FINE,430,49116,11938,34,18,199,146,0,0,0,0,0
68562,FINE,430,49285,12812,42,18,-13,-248,0,0,0,0,0
68762,FINE,430,49443,13578,32,18,60,239,0,0,0,0,0
68962,FINE,430,49604,14308,42,18,-37,-245,0,0,0,0,0
69162,FINE,430,49761,13587,34,18,106,223,0,0,0,0,0
69362,FINE,430,49936,12736,40,18,211,-128,0,0,0,0,0
69562,FINE,430,50083,11975,36,18,60,239,0,0,0,0,0
69762,FINE,430,50245,11076,44,18,-13,-248,0,0,0,0,0
69962,FINE,430,50404,10115,36,18,36,244,0,0,0,0,0
70162,FINE,430,50550,9145,42,18,-248,-11,0,0,0,0,0
70362,FINE,430,50710,7947,14,18,247,10,0,0,0,0,0
70562,FINE,430,50858,6649,42,18,-105,224,0,0,0,0,0
70762,FINE,430,51015,4911,42,18,35,-245,0,0,0,0,0
70962,FINE,430,51173,1975,36,18,12,247,0,0,0,0,0
71162,FINE,440,51304,3586,40,18,-60,240,0,0,0,0,0
71362,FINE,440,51463,5763,42,0,35,-245,0,0,0,0,0
71562,FINE,440,51604,7159,38,18,244,-37,0,0,0,0,0
